Subject	site	Sex	Group	Age	Date	Day	Session	trial_number	correct	food_obtained	food_retrieved in the end	Comment
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	1	0			
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	2	0			
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	3	1	1		
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	4	0			
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	5	1	1		
Umutama	uganda	m	Uganda	23	01/12/2019	5	1	6	1	1	7	
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	1	1	1		
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	2	0			
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	3	0			
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	4	1	1		
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	5	1	1		
Umutama	uganda	m	Uganda	23	02/12/2019	6	2	6	0		7	
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	1	0			
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	2	0			
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	3	1	0		
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	4	1	1		
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	5	1	1		
Umugenzi	uganda	m	Uganda	22	01/12/2019	5	1	6	0		6	stopped for 1min
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	1	0			
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	2	0			
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	3	1	1		
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	4	0			
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	5	1	1		
Umugenzi	uganda	m	Uganda	22	02/12/2019	6	2	6	0		5	stopped for 1min
Okech	uganda	m	Uganda	20	01/12/2019	5	1	1	0			
Okech	uganda	m	Uganda	20	01/12/2019	5	1	2	1	1		
Okech	uganda	m	Uganda	20	01/12/2019	5	1	3	1	1		
Okech	uganda	m	Uganda	20	01/12/2019	5	1	4	1	1		
Okech	uganda	m	Uganda	20	01/12/2019	5	1	5	1	1		
Okech	uganda	m	Uganda	20	01/12/2019	5	1	6	0		6	
Okech	uganda	m	Uganda	20	02/12/2019	6	2	1	1	1		
Okech	uganda	m	Uganda	20	02/12/2019	6	2	2	0			
Okech	uganda	m	Uganda	20	02/12/2019	6	2	3	1	1		
Okech	uganda	m	Uganda	20	02/12/2019	6	2	4	0			
Okech	uganda	m	Uganda	20	02/12/2019	6	2	5	1	1		
Okech	uganda	m	Uganda	20	02/12/2019	6	2	6	1	1	7	
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	1	1	1		
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	2	0			
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	3	1	1		
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	4	0			
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	5	1	1		
Mawa	uganda	m	Uganda	23	02/12/2019	5	1	6	0		5	stopped for 1min
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	1	1	0		
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	2	1	0		
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	3	0			
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	4	1	1		
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	5	0			
Mawa	uganda	m	Uganda	23	04-Dec-19	6	2	6	0			
Bili	uganda	f	Uganda	21	03/12/2019	5	1	1	1	1		
Bili	uganda	f	Uganda	21	03/12/2019	5	1	2	0			
Bili	uganda	f	Uganda	21	03/12/2019	5	1	3	0			
Bili	uganda	f	Uganda	21	03/12/2019	5	1	4	1	1		
Bili	uganda	f	Uganda	21	03/12/2019	5	1	5	1	1		
Bili	uganda	f	Uganda	21	03/12/2019	5	1	6	1	1	7	
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	1	1	1		
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	2	1	1		
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	3	0			
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	4	1	1		
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	5	0			
Bili	uganda	f	Uganda	21	04-Dec-19	6	2	6	1	1	7	
