"Subject","Updating_P1.mistakes","Updating_P1.correct","Updating_P2.mistakes","Updating_P2.correct","updating_P1P2_redSearch","Updating_P1P2.correct","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","boxes_correct_newrange","Boxes_P1.mistakes","Boxes_P1.correct","Grid_Distance","Grid_Distance_newrange","grid_numberAttempts"
"Ajabu",1.25,0.583333333333333,1.5,0.5,2.75,0.541666666666667,-1.25,3.5,3,0.833333333333333,1.5,2,1.5,0.25,0.75,0.25,1.09408251683333,0.696556083429874,7.33333333333333
"Akela",2,0.333333333333333,1.25,0.583333333333333,3.25,0.458333333333333,0.25,2.66666666666667,4,0.666666666666667,1.66666666666667,1.5,1.5,0.25,0.625,0.375,1.60223106341667,0.555621023411771,8.08333333333333
"Alikaka",1.25,0.583333333333333,1.75,0.416666666666667,3,0.5,0,0.333333333333333,4.33333333333333,NA,0.333333333333333,2.33333333333333,1.375,0.3125,0.5,0.5,1.41257038475,0.608223435266898,7.5
"Alley",1,0.666666666666667,1.75,0.416666666666667,2.75,0.541666666666667,-1.25,1,2.33333333333333,1,0.666666666666667,1.33333333333333,1.5,0.25,0.75,0.25,1.18688672391667,0.67081682552357,6
"Amahirwe",1.75,0.416666666666667,1.5,0.5,3.25,0.458333333333333,0.5,5,5,1.83333333333333,2.33333333333333,1.66666666666667,1.25,0.375,0.75,0.25,1.19171358983333,0.669478093685727,4.41666666666667
"Amizero",1.5,0.5,1,0.666666666666667,2.5,0.583333333333333,-2.25,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1.375,0.3125,0.625,0.375,1.38752346158333,0.615170202395325,8.08333333333333
"Angela",1.75,0.416666666666667,0.75,0.75,2.5,0.583333333333333,-1,5,5,1,2,2.33333333333333,1.85714285714286,0.0714285714285714,0.875,0.125,1.407195793,0.609714078929961,14.3333333333333
"Asega",0.5,0.833333333333333,0.5,0.833333333333333,1,0.833333333333333,-3,3,3,NA,1.33333333333333,1.33333333333333,1.375,0.3125,0.625,0.375,1.45820612508333,0.595566357241006,8.16666666666667
"Bahati",1.75,0.416666666666667,1.25,0.583333333333333,3,0.5,-2,2,1.66666666666667,1.16666666666667,1.33333333333333,0.666666666666667,1.375,0.3125,0.5,0.5,1.41311811058333,0.608071523441678,9.75
"Baluku",1,0.666666666666667,0.5,0.833333333333333,1.5,0.75,0.333333333333333,3.66666666666667,1.33333333333333,NA,1.33333333333333,1,0.875,0.5625,0.5,0.5,0.735702260333333,0.795952890325686,2.75
"Becky",1.75,0.416666666666667,NA,NA,3.75,0.375,2.75,4.66666666666667,3.75,NA,1,1.25,1.25,0.375,0.625,0.375,1.211933647,0.663870058418256,10.4166666666667
