"","Subject","WMUpdating","WMBoxes","WMGrid","InhibGrid","Cylinder","GlassCeiling","Tray","Shelf","SD","SR","CD_all","ID","ED"
"1","Asega",2.16807340677071,-0.929684526947236,-0.987039277281344,0.493161874903501,0.606400143848362,-0.81763555921487,1.80079542008635,-0.852012867230257,-0.160790671049705,2.60221176272529,0.678694417452694,-0.6767766570087,0.557080594414915
"2","Baluku",1.58837463490688,1.33783870950944,1.8908178661697,0.493161874903501,0.606400143848362,0.384769674924647,1.09735970911512,-2.08103346544705e-15,1.08263537694334,1.07162691559077,0.274942667224004,-0.6767766570087,0.0768387026779193
"3","Becky",-1.02026983848033,-0.362803717833067,-0.00609364520122887,1.52058244761912,1.31151659018367,1.58717490906416,-0.661229568312961,-0.852012867230257,-0.260264754889149,-0.338122285717341,-1.74381608391944,0.961186649282983,-2.32437075600706
"4","Bili",-0.44057106661651,0.204077091281101,-0.925710045507694,0.493161874903501,-0.0987163024869435,-0.81763555921487,-0.661229568312961,0.426006433615128,0.933424251184175,-0.942300514849389,-1.07089650020496,0.961186649282983,-0.883645080796071
"5","Bwambale",0.428977091179229,1.90471951862361,1.0894655500334,-1.56167927052775,-0.0987163024869435,-0.81763555921487,-0.309511712827342,-2.08103346544705e-15,0.336579748147517,0.06466320037069,1.21703008442428,-1.12349392236098,1.9978062696259
"6","Cocoa",-1.02026983848033,-0.362803717833067,0.757534552399356,0.493161874903501,-1.50894919515756,-0.216432942145113,1.09735970911512,-0.852012867230257,-0.0364480662503999,-0.740907771805373,-0.128809083004686,-0.6767766570087,-0.883645080796071
"7","Indi",0.718826477111144,0.770957900395269,-0.183505274957581,-0.534258697812124,-0.803832748822248,-0.216432942145113,0.393923998143888,0.852012867230258,-1.24330275989071,-0.942300514849389,1.39647530674814,0.961186649282983,-0.403403189059076
"8","Kalema",-1.02026983848033,-0.362803717833067,0.0744463197693547,-0.534258697812124,0.606400143848362,-0.216432942145113,-0.661229568312961,-1.70402573446052,-0.409475880648317,0.668841429502738,0.947862250938485,-1.12349392236098,1.5175643778889
"9","Kidogo",0.139127705247321,-0.929684526947236,0.563093875633518,-0.534258697812124,-0.0987163024869435,0.384769674924647,-0.661229568312961,-1.27801930084539,-0.571661886908276,-0.338122285717341,-1.16702786930703,-1.90524913672746,0.0768387026779193
"10","Kisembo",-1.59996861034416,-0.929684526947236,2.22274886380374,-0.534258697812124,-0.803832748822248,0.384769674924647,-0.309511712827342,0.426006433615128,-1.25500559328359,-0.942300514849389,-2.87432098455978,0.961186649282983,-0.883645080796071
"11","Mawa",-0.730420452548417,-1.4965653360614,-0.576750000200303,-0.534258697812124,-0.803832748822248,-0.81763555921487,-0.661229568312961,-2.08103346544705e-15,1.94346879478468,0.668841429502738,-0.397976916490477,0.961186649282983,0.557080594414915
"12","Medina",-1.31011922441225,-1.4965653360614,-0.394974998732905,0.493161874903501,-0.0987163024869435,0.384769674924647,-0.661229568312961,-0.426006433615127,2.20171882013709,-0.338122285717341,0.499249195128834,0.961186649282983,0.0768387026779193
"13","Nakuu",1.29852524897497,0.770957900395269,-0.394974998732905,0.493161874903501,0.606400143848362,-0.81763555921487,0.393923998143888,-2.08103346544705e-15,-2.40890496582114,-0.338122285717341,0.947862250938485,-0.6767766570087,-0.403403189059076
"14","Namukisa",-0.730420452548417,1.33783870950944,0.75971623825488,1.52058244761912,1.31151659018367,0.985972291994402,0.0422061426582768,-2.08103346544705e-15,-0.558687006407477,-0.338122285717341,0.678694417452694,-0.6767766570087,1.03732248615191
"15","Nani",0.428977091179229,0.204077091281101,0.482553910662934,1.52058244761912,-0.0987163024869435,-0.81763555921487,-0.661229568312961,-0.852012867230257,-0.969017602245189,-0.740907771805373,-0.936312583462066,0.961186649282983,2.4780481613629
"16","Nkuumwa",0.428977091179229,0.770957900395269,2.0283081870379,1.52058244761912,0.606400143848362,1.58717490906416,-0.309511712827342,1.70402573446052,-1.65290192864137,-0.539515028761357,1.14012498914262,-0.472031243722238,0.0768387026779193
"17","Okech",1.29852524897497,0.770957900395269,-0.338024643167208,0.493161874903501,-0.0987163024869435,-0.81763555921487,-1.36466527928419,0.852012867230258,0.762897250316557,-0.740907771805373,-1.53131516274645,0.961186649282983,-0.403403189059076
"18","Pasa",-1.02026983848033,-0.362803717833067,1.01110727058641,-1.56167927052775,-1.15639097198991,-0.81763555921487,0.745641853629506,1.70402573446052,1.69304452777629,1.36933792704714,1.14012498914262,-0.6767766570087,-0.883645080796071
"19","Rambo",-2.46951676813989,1.33783870950944,-1.58212329808076,-0.534258697812124,-1.50894919515756,-0.81763555921487,2.15251327557197,-1.27801930084539,-0.326580810782108,-0.942300514849389,0.678694417452694,0.961186649282983,-0.403403189059076
"20","Sally",-1.02026983848033,0.204077091281101,-0.451925354630526,-0.534258697812124,1.31151659018367,2.18837752613392,0.0422061426582768,-1.70402573446052,0.123420997062994,0.870234172546756,0.0914191443927788,-0.6767766570087,-1.84412886427006
"21","Sara",1.29852524897497,-0.929684526947236,-0.454107040486048,-0.534258697812124,-0.803832748822248,0.985972291994402,-1.36466527928419,1.70402573446052,-0.448741966374408,-0.179128014893119,-0.936312583462066,0.961186649282983,0.0768387026779193
"22","Tumbo",0.139127705247321,-0.929684526947236,-2.32961062863954,-1.56167927052775,1.31151659018367,1.58717490906416,0.393923998143888,-0.852012867230257,-0.605806309278794,0.668841429502738,-1.55155334571531,-1.49575831015454,-0.403403189059076
