"","Models","WAIC","SE","WAIC difference","SE difference","p difference"
"1","1 factor",1360.9,36.23,-0.22,0.65,0.73
"2","MF 2012",1362.81,36.56,-1.18,1.03,0.25
"3","3 factors",1361.8,35.98,-0.68,1.29,0.6
"4","3 independent factors",1359.99,35.78,-0.23,1.83,0.9
"5","2 factors 1",1359.8,35.56,-0.33,1.78,0.85
"6","2 factors 2",1361.97,36.52,-0.76,0.87,0.38
"7","2 factors 3",1362.49,36.37,-1.02,0.76,0.18
