Subject	Site	Gender	Group	Age	Date	Trial	Type	Grid	2ndtask_initial	2ndtask_end	NrUntilfindGrid	choice P2	corr P2	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01	choice1_correct	choice02	choice03	choice04	choice05	choice06	choice07	choice08	choice09	choice10	choice11	choice12	choice13	choice14	choice15	choice16	choice17	choice18	choice19	choice20	choice21	choice22	choice23	choice24	choice25	choice26	choice27	choice28	choice29	choice30	choice31	choice32	choice33	choice34	choice35	choice36	choice37	choice38	choice39	choice40	choice41	choice42	choice43	choice44	choice45	choice46	choice47	choice48	choice49	choice50	choice51	choice52	choice53	choice54	choice55	choice56	choice57	choice58	choice59	choice60
Nkuumwa	uganda	f	Uganda	23	15/11/2019	1	test	9	1	2	1	2	1	9	1	3	1	3	0																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	2	test	6	3	1	1	1	1	6	2	2	2	2	0																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	3	test	10	2	3	1	3	1	10	2	3	2	3	0																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	4	test	12	3	2	1	2	1	12	4	3	4	3	0																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	5	test	2	2	1	17	1	1	10	2	3	2	1	2																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	6	test	11	1	3	3	3	1	16	4	4	3	3	1.414213562																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	7	test	5	1	2	2	2	1	9	1	3	1	2	1																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	8	test	3	3	1	2	1	1	7	3	2	3	1	1																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	9	test	14	1	3	1	3	1	14	2	4	2	4	0																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	10	test	8	2	1	2	1	1	12	4	3	4	2	1																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	11	test	7	3	1	10	1	1	8	4	2	3	2	1																																																												
Nkuumwa	uganda	f	Uganda	23	15/11/2019	12	test	15	2	3	2	3	1	14	2	4	3	4	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	1	warm-up	8			6			12	4	3	4	2	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	2	warm-up	3			5			12	4	3	3	1	2.236067977																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	1	test	9	1	2	1	2	1	9	1	3	1	3	0																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	2	test	6	3	1	19	1	1	9	1	3	2	2	1.414213562																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	3	test	10	2	3	1	3	1	10	1	3	2	3	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	4	test	12	3	2	2	2	1	16	2	3	4	3	2																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	5	test	2	2	1	4	1	1	8	4	4	2	1	3.605551275																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	6	test	11	1	3	11	1	0	12	4	3	3	3	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	7	test	5	1	2	26	2	1	9	1	3	1	2	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	8	test	3	3	2	6	2	1	9	1	3	3	1	2.828427125																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	9	test	14	1	3	19	3	1	10	2	3	2	4	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	10	test	8	2	1	4	1	1	7	3	2	4	2	1																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	11	test	7	3	1	10	1	1	9	1	3	3	2	2.236067977																																																												
Yoyo	uganda	f	Uganda	20	03/12/2019	12	test	15	2	3	26	3	1	4	4	1	3	4	3.16227766																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	1	warm-up	8			7			8	4	2	4	2	0																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	2	warm-up	3			1	2	1	9	1	3	3	1	2.828427125																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	1	test	9	1	2	29	1	1	9	1	3	1	3	0																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	2	test	6	3	1	1	3	1	10	2	3	2	2	1																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	3	test	10	2	3	2	2	1	11	3	3	2	3	1																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	4	test	12	3	2	4	1	1	11	3	3	4	3	1																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	5	test	2	2	1	4	2	0	10	2	3	2	1	2																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	6	test	11	1	3	2	2	1	9	1	3	3	3	2																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	7	test	5	1	2	5	2	1	15	3	4	1	2	2.828427125																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	8	test	3	3	2	1	2	0	14	2	4	3	1	3.16227766																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	9	test	14	1	3	22	1	1	14	2	4	2	4	0																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	10	test	8	2	1	3	1	1	10	2	3	4	2	2.236067977																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	11	test	7	3	1	2	3	1	14	2	4	3	2	2.236067977																																																												
Umutama	uganda	m	Uganda	23	03/12/2019	12	test	15	2	3							3	4																																																													
Umugenzi	uganda	m	Uganda	22	03/12/2019	1	warm-up	8			1			8	4	2	4	2	0																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	2	warm-up	3			16			14	2	4	3	1	3.16227766																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	1	test	9	1	2	1	2	1	9	1	3	1	3	0																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	2	test	6	3	1	21	1	1	9	1	3	2	2	1.414213562																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	3	test	10	2	3	1	3	1	10	2	3	2	3	0																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	4	test	12	3	2	1	2	1	12	4	3	4	3	0																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	5	test	2	2	1	12	1	1	7	3	2	2	1	1.414213562																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	6	test	11	1	3	3	3	1	12	4	3	3	3	1																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	7	test	5	1	2	65	2	1	10	2	3	1	2	1.414213562																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	8	test	3	3	2	4	2	1	8	4	2	3	1	1.414213562																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	9	test	14	1	3	10	3	1	10	2	3	2	4	1																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	10	test	8	2	1	2	1	1	12	4	3	4	2	1																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	11	test	7	3	1	3	1	1	12	4	3	3	2	1.414213562																																																												
Umugenzi	uganda	m	Uganda	22	03/12/2019	12	test	15	2	3	9	3	1	16	4	4	3	4	1																																																												
Nani	uganda	f	Uganda	18	03/12/2019	1	warm-up	8			3			11	3	3	4	2	1.414213562																																																												
Nani	uganda	f	Uganda	18	03/12/2019	2	warm-up	3			2			4	4	1	3	1	1																																																												
Nani	uganda	f	Uganda	18	03/12/2019	1	test	9	1	2	1	1	0	9	1	3	1	3	0																																																												
Nani	uganda	f	Uganda	18	03/12/2019	2	test	6	3	1	24	1	1	5	1	2	2	2	1																																																												
Nani	uganda	f	Uganda	18	03/12/2019	3	test	10	2	3	1	2	0	10	2	3	2	3	0																																																												
Nani	uganda	f	Uganda	18	03/12/2019	4	test	12	3	2	7	2	1	10	2	3	4	3	2																																																												
Nani	uganda	f	Uganda	18	03/12/2019	5	test	2	2	1	1	1	1	2	2	1	2	1	0																																																												
Nani	uganda	f	Uganda	18	03/12/2019	6	test	11	1	3	4	2	0	6	2	2	3	3	1.414213562																																																												
Nani	uganda	f	Uganda	18	03/12/2019	7	test	5	1	2	12	2	1	10	2	3	1	2	1.414213562																																																												
Nani	uganda	f	Uganda	18	03/12/2019	8	test	3	3	2	8	2	1	6	2	2	3	1	1.414213562																																																												
Nani	uganda	f	Uganda	18	03/12/2019	9	test	14	1	3	12	2	0	10	2	3	2	4	1																																																												
Nani	uganda	f	Uganda	18	03/12/2019	10	test	8	2	1	23	1	1	6	2	2	4	2	2																																																												
Nani	uganda	f	Uganda	18	03/12/2019	11	test	7	3	1	7	1	1	10	2	3	3	2	1.414213562																																																												
Nani	uganda	f	Uganda	18	03/12/2019	12	test	15	2	3	11	3	1	10	2	3	3	4	1.414213562																																																												
Okech	uganda	m	Uganda	20	03/12/2019	1	warm-up	8			1			8	4	2	4	2	0																																																												
Okech	uganda	m	Uganda	20	03/12/2019	2	warm-up	3			5			8	4	2	3	1	1.414213562																																																												
Okech	uganda	m	Uganda	20	03/12/2019	1	test	9	1	2	1	2	1	9	1	3	1	3	0																																																												
Okech	uganda	m	Uganda	20	03/12/2019	2	test	6	3	1	2	1	1	9	1	3	2	2	1.414213562																																																												
Okech	uganda	m	Uganda	20	03/12/2019	3	test	10	2	3	14	3	1	5	1	2	2	3	1.414213562																																																												
Okech	uganda	m	Uganda	20	03/12/2019	4	test	12	3	2	1	2	1	12	4	3	4	3	0																																																												
Okech	uganda	m	Uganda	20	03/12/2019	5	test	2	2	1	11	1	1	12	4	3	2	1	2.828427125																																																												
Okech	uganda	m	Uganda	20	03/12/2019	6	test	11	1	3	4	1	0	12	4	3	3	3	1																																																												
Okech	uganda	m	Uganda	20	03/12/2019	7	test	5	1	2	18	2	1	11	3	3	1	2	2.236067977																																																												
Okech	uganda	m	Uganda	20	03/12/2019	8	test	3	3	2	12	2	1	8	4	2	3	1	1.414213562																																																												
Okech	uganda	m	Uganda	20	03/12/2019	9	test	14	1	3	11	3	1	12	4	3	2	4	2.236067977																																																												
Okech	uganda	m	Uganda	20	03/12/2019	10	test	8	2	1	1	1	1	8	4	2	4	2	0																																																												
Okech	uganda	m	Uganda	20	03/12/2019	11	test	7	3	1	31	1	1	8	4	2	3	2	1																																																												
Okech	uganda	m	Uganda	20	03/12/2019	12	test	15	2	3	14	3	1	7	3	2	3	4	2																																																												
Sara	uganda	f	Uganda	9	04/12/2019	1	warm-up	8			3			10	2	3	4	2	2.236067977																																																												
Sara	uganda	f	Uganda	9	04/12/2019	2	warm-up	3			5			10	2	3	3	1	2.236067977																																																												
Sara	uganda	f	Uganda	9	04/12/2019	1	test	9	1	2	4	2	1	10	2	3	1	3	1																																																												
Sara	uganda	f	Uganda	9	04/12/2019	2	test	6	3	1	11	2	0	10	2	3	2	2	1																																																												
Sara	uganda	f	Uganda	9	04/12/2019	3	test	10	2	3	1	3	1	10	2	3	2	3	0																																																												
Sara	uganda	f	Uganda	9	04/12/2019	4	test	12	3	2	3	2	1	10	2	3	4	3	2																																																												
Sara	uganda	f	Uganda	9	04/12/2019	5	test	2	2	1	15	1	1	10	2	3	2	1	2																																																												
Sara	uganda	f	Uganda	9	04/12/2019	6	test	11	1	3	2	3	1	10	2	3	3	3	1																																																												
Sara	uganda	f	Uganda	9	04/12/2019	7	test	5	1	2	10	2	1	10	2	3	1	2	1.414213562																																																												
Sara	uganda	f	Uganda	9	04/12/2019	8	test	3	3	2	12	2	1	10	2	3	3	1	2.236067977																																																												
Sara	uganda	f	Uganda	9	04/12/2019	9	test	14	1	3	2	3	1	10	2	3	2	4	1																																																												
Sara	uganda	f	Uganda	9	04/12/2019	10	test	8	2	1	10	1	1	11	3	3	4	2	1.414213562																																																												
Sara	uganda	f	Uganda	9	04/12/2019	11	test	7	3	1	5	1	1	10	2	3	3	2	1.414213562																																																												
Sara	uganda	f	Uganda	9	04/12/2019	12	test	15	2	3	5	3	1	10	2	3	3	4	1.414213562																																																												
Bili	uganda	f	Uganda	21	05/12/2019	1	warm-up	8			7			9	1	3	4	2	3.16227766																																																												
Bili	uganda	f	Uganda	21	05/12/2019	2	warm-up	3			3			11	3	3	3	1	2																																																												
Bili	uganda	f	Uganda	21	05/12/2019	1	test	9	1	2	4	2	1	10	2	3	1	3	1																																																												
Bili	uganda	f	Uganda	21	05/12/2019	2	test	6	3	1	5	1	1	9	1	3	2	2	1.414213562																																																												
Bili	uganda	f	Uganda	21	05/12/2019	3	test	10	2	3	10	3	1	9	1	3	2	3	1																																																												
Bili	uganda	f	Uganda	21	05/12/2019	4	test	12	3	2	2	2	1	16	4	4	4	3	1																																																												
Bili	uganda	f	Uganda	21	05/12/2019	5	test	2	2	1	8	1	1	12	4	3	2	1	2.828427125																																																												
Bili	uganda	f	Uganda	21	05/12/2019	6	test	11	1	3	21	3	1	14	2	4	3	3	1.414213562																																																												
