Subject	Site	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	fourth_choice	fourth_choice_correct	fifth_choice	fifth_choice_correct	sixth_choice	sixth_choice_correct	seventh_choice	seventh_choice_correct	eigth_choice	eighth_choice_correct	ninth_choice	ninth_choice_correct	tenth_choice	tenth_choice_correct	comment
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	4	1	0	3	4	3	1	2	1	4	0	3	0	2	0	5	1							
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	4	2	0	2	5	3	1	2	1	3	0	5	0	4	1									
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	4	3	1	0	5	4	1	3	1	2	1													
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	5	1	0	3	5	5	0	3	1	2	1	3	0	5	0	1	1	4	1					
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	5	2	0	4	2	4	1	2	0	2	0	3	1	5	1	5	0	1	0					
Manno	kenya	m	young chimps	5	06/10/2018	1	one_platform:feature+space	5	3	0	4	3	3	0	5	1	2	1	5	0	2	0	4	1	3	0	1	1			
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	4	1	1	0	2	3	1	5	1	4	1													"Niyonkuru in the same room, got distracted"
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	4	2	0	5	4	4	0	4	0	3	1	3	0	5	1	5	0	5	0					"Niyonkuru in the same room, got distracted"
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	4	3	0	2	5	4	1	3	1	4	0	4	0	2	1									"Niyonkuru in the same room, got distracted"
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	5	1	0	5	4	4	0	3	1	5	1	5	0	3	0	3	0	5	0					"Niyonkuru in the same room, got distracted"
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	5	2	0	1	4	5	1	4	0	3	1	2	1	2	0	1	1							"Niyonkuru in the same room, got distracted"
Tess	kenya	f	young chimps	26	06/10/2018	1	one_platform:feature+space	5	3	0	3	3	4	1	5	1	4	0	4	0	5	0	1	1	2	1					"Niyonkuru in the same room, got distracted"
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	4	1	0	5	3	2	1	4	1	4	0	3	0	2	0	4	0	3	0					
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	4	2	0		3	4	1	2	1	4	0	2	0											"did not approach platform within 1 min after 5th choice, trial aborted "
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	4	3	0	2	5	4	1	3	1	5	0	4	0	2	1									
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	4	4	0	5	4	5	1	4	0	4	0	3	1	5	0	4	0	3	0					repetition of second trial
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	5	1	0	5	4	3	1	1	1	4	0	5	1	3	0	4	0	3	0	5	0			
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	5	2	0	1	4	2	1	5	1	4	0	3	1	1	1									
William	kenya	m	young chimps	18	06/10/2018	1	one_platform:feature+space	5	3	0	4	4	3	1	4	0	5	1	1	1	4	0	1	0	4	0					E mistake: 4 instead of 5 incorrect attempts
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	4	1	0	5	4	2	1	2	0	2	0	2	0	3	1	3	0	3	0					
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	4	2	0	4	3	4	1	2	1	4	0	2	0	3	0	3	0							E mistake: 4 instead of 5 incorrect attempts
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	4	3	0	4	3	3	0	3	0	4	1	4	0	4	0	5	1							E mistake: 4 instead of 5 incorrect attempts
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	5	1	0	5	1	5	1	1	0	2	1	5	0	4	1	4	5	0	4	0	2	0		
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	5	2	0	3	1	1	0	5	1	5	0	3	1	3	0	4	1	2	1					
Uruhara	kenya	m	young chimps	29	06/10/2018	1	one_platform:feature+space	5	3	0	5	1	2	1	1	0	3	1	4	1	1	0	3	0	4	0	4	0			
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	4	1	0	1	2	5	1	2	0	3	1	4	1											
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	4	2	0	2	2	3	1	4	1	3	0	4	0	5	1									
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	4	3	1	0	2	3	1	5	1	4	1													
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	5	1	0	1	1	2	1	3	1	3	0	4	1	5	1									
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	5	2	0	2	1	2	1	3	1	4	1	4	0	3	0	5	1							
Amizero	kenya	f	young chimps	29	06/10/2018	1	one_platform:feature+space	5	3	1	0	1	2	1	3	1	4	1	5	1											
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	4	1	0	5	2	3	1	2	0	2	0	4	1	4	0	4	0	2	0					E mistake: he received 7 incorrect attempts
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	4	2	0	5	2	2	0	2	0	4	1	4	0	4	0	4	0							
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	4	3	0	5	5	5	0	2	1	2	0	2	0	5	0	2	0							
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	5	1	0	5	1	1	0	1	0	4	1	4	0	1	0	1	0							
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	5	2	0	5	1	1	0	1	0	5	1	1	0	4	1	4	0	4	0					
Roy	kenya	m	young chimps	11	06/10/2018	1	one_platform:feature+space	5	3	0	5	1	1	0	4	1	4	0	1	0	1	0	4	0							
