Subject	Site	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	P1P2_trial_correct	redundant_searches	P1_1st	P2_1st	P1_2nd	P1_2nd_c	P2_2nd	P2_2nd_c	P1_3rd	P1_3rd_c	P2_3rd	P2_3rd_c	P1_4th	P1_4th_c	P2_4th	P2_4th_c	P1_5th	P1_5th_c	P2_5th	P2_5th_c	P1_6th	P1_6th_c	P2_6th	P2_6th_c	P1_7th	P1_7th_c	Comment	number_retr_food	diff_score	P1P2_first4	P1_first4
Kisembo	uganda	m	Uganda	20	14/10/2019	2	two_platform:identical_boxes	8	4	0	6	4	2	4	0	2	0	4	0	3	1	4	0	2	0	4	0										1	5	3	1
Medina	uganda	f	Uganda	12	13/10/2019	2	two_platform:identical_boxes	8	1	0	6	4	4	4	0	4	0	3	1	4	0	3	0	3	1	4	0	3	0								2	4	4	2
Medina	uganda	f	Uganda	12	13/10/2019	2	two_platform:identical_boxes	8	2	0	6	4	4	3	1	4	0	2	1	3	1	3	0	4	0	4	0	2	1	4	0	3	0				4	2	5	3
Medina	uganda	f	Uganda	12	13/10/2019	2	two_platform:identical_boxes	8	3	0	6	4	4	3	1	4	0	4	0	4	0	4	0	1	1	4	0	1	0								2	4	4	2
Medina	uganda	f	Uganda	12	13/10/2019	2	two_platform:identical_boxes	8	4	0	6	4	1	4	0	3	1	4	0	1	0	4	0	3	0	4	0										1	5	3	1
Nakuu	uganda	f	Uganda	18	14/10/2019	2	two_platform:identical_boxes	8	1	0	2	4	2	3	1	2	0	1	1	3	1	2	1	2	0												4	-2	6	4
Nakuu	uganda	f	Uganda	18	14/10/2019	2	two_platform:identical_boxes	8	2	0	1	4	3	3	1	1	1	2	1	2	1	1	1	1	0												5	-4	7	4
Nakuu	uganda	f	Uganda	18	14/10/2019	2	two_platform:identical_boxes	8	3	0	2	4	1	4	0	2	1	3	1	4	1	2	1	1	0	1	1	3	1								6	-4	6	3
Nakuu	uganda	f	Uganda	18	14/10/2019	2	two_platform:identical_boxes	8	4	0	3	4	3	3	1	1	1	3	0	1	0	1	1	2	1	2	1	1	0								5	-2	6	3
Pasa	uganda	f	Uganda	19	13/10/2019	2	two_platform:identical_boxes	8	1	0	6	3	4	4	1	4	0	3	0	3	1	3	0	3	0	3	0	3	0								2	4	4	2
Pasa	uganda	f	Uganda	19	13/10/2019	2	two_platform:identical_boxes	8	2	0	6	4	4	3	1	4	0	3	0	3	1	3	0	4	0	3	0	2	1	3	0						3	3	4	2
Pasa	uganda	f	Uganda	19	13/10/2019	2	two_platform:identical_boxes	8	3	0	6	2	3	3	1	3	0	2	0	1	1	3	0	1	0	1	1	3	0	1	0						3	3	4	2
Pasa	uganda	f	Uganda	19	13/10/2019	2	two_platform:identical_boxes	8	4	0	4	2	2	1	1	3	1	3	1	2	0	1	0	3	0	4	1	3	0								4	0	5	3
Indi	uganda	m	Uganda	19	15/10/2019	2	two_platform:identical_boxes	8	1	0	3	4	4	1	1	1	1	3	1	3	1	1	0	4	0	2	1	3	0								5	-2	6	3
Indi	uganda	m	Uganda	19	15/10/2019	2	two_platform:identical_boxes	8	2	0	6	1	2	4	1	2	0	3	1	3	1	1	0	3	0	3	0	4	1	3	0	1	1	1	0		5	1	5	3
Indi	uganda	m	Uganda	19	15/10/2019	2	two_platform:identical_boxes	8	3	0	6	1	4	4	1	1	1	1	0	3	1	3	1	4	0	1	0	1	0	3	0	4	0				4	2	6	3
Indi	uganda	m	Uganda	19	15/10/2019	2	two_platform:identical_boxes	8	4	0	2	3	4	2	1	3	1	4	1	3	0	1	1	3	0												4	-2	6	4
Mawa	uganda	m	Uganda	23	02/11/2019	2	two_platform:identical_boxes	8	1	0	6	1	3	3	1	3	0	2	1	2	1	3	0	3	0	3	0	1	1	3	0	3	0				4	2	5	3
Mawa	uganda	m	Uganda	23	02/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	4	3	0	3	1	3	0	3	0	1	1	2	1	2	1	2	0	2	0	3	0				4	2	5	2
Mawa	uganda	m	Uganda	23	02/11/2019	2	two_platform:identical_boxes	8	3	0	6	3	3	3	0	1	1	3	0	1	0	3	0	2	1	3	0	4	1	3	0						3	3	4	1
Mawa	uganda	m	Uganda	23	02/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	4	3	0	3	1	2	1	3	0	3	0	4	0	2	0	2	1	2	0						3	3	4	2
Becky	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	1	0	6	2	3	3	1	4	1	3	0	3	0	3	0	3	0	3	0	4	0								2	4	4	2
Becky	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	2	0	2	4	3	3	1	3	0	1	1	3	0	2	1														3	-1	5	4
Becky	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	3	2	3	0	1	1	3	0	4	1	3	0	1	0	3	0	4	0								2	4	4	1
Becky	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	3	3	0	3	0	3	0	4	1	4	1	3	0	4	0	4	0								2	4	4	2
Sally	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	1	0	6	4	1	4	0	2	1	3	1	3	1	2	1	3	0	3	0	3	0	3	0	3	0				4	2	6	3
Sally	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	2	0	5	4	4	3	1	3	1	3	0	3	0	3	0	3	0	1	1	3	0	2	1	4	0				4	1	4	2
Sally	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	1	2	1	2	1	2	0	2	0	2	0	1	0	1	1	2	0	1	0						3	3	4	2
Sally	uganda	f	Uganda	28	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	4	3	0	4	0	3	0	3	1	3	0	3	0	4	1	4	0								2	4	3	1
Cocoa	uganda	f	Uganda	12	05/11/2019	2	two_platform:identical_boxes	8	1	0	6	4	4	4	0	3	1	4	0	3	0	2	1	3	0	2	0	2	1	4	0						3	3	4	2
Cocoa	uganda	f	Uganda	12	05/11/2019	2	two_platform:identical_boxes	8	2	0	6	4	3	2	1	3	0	3	1	3	0	2	0	3	0	3	0	2	1	3	0						3	3	4	3
Cocoa	uganda	f	Uganda	12	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	2	3	3	1	3	0	3	0	2	1	3	0	3	0	3	0	2	0								2	4	4	2
Cocoa	uganda	f	Uganda	12	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	3	3	0	2	1	2	1	3	0	4	1	2	0	4	0	1	1	2	0	1	0				4	2	5	3
Kalema	uganda	m	Uganda	23	05/11/2019	2	two_platform:identical_boxes	8	1	0	6	3	4	2	1	2	1	3	0	2	0	2	0	2	0	4	1	4	0	4	0						3	3	4	2
Kalema	uganda	m	Uganda	23	05/11/2019	2	two_platform:identical_boxes	8	2	0	6	4	4	2	1	4	0	4	0	4	0	3	1	2	1	4	0	2	0	3	0						3	3	5	3
Kalema	uganda	m	Uganda	23	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	2	3	1	4	1	4	0	2	0	4	0	4	0	2	1	2	0	3	0						3	3	4	2
Kalema	uganda	m	Uganda	23	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	4	4	1	4	0	4	0	2	1	4	0	4	0	4	0	2	0								2	4	4	2
Rambo	uganda	m	Uganda	15	05/11/2019	2	two_platform:identical_boxes	8	1	0	6	4	3	4	0	4	1	4	0	4	0	4	0	4	0	4	0										1	5	3	1
Rambo	uganda	m	Uganda	15	05/11/2019	2	two_platform:identical_boxes	8	2	0	6	4	4	4	0	4	0	4	0	4	0	4	0	4	0												0	6	2	1
Rambo	uganda	m	Uganda	15	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	4	4	0	3	1	4	0	1	1	3	1	3	0	3	0	3	0	3	0						3	3	5	2
Rambo	uganda	m	Uganda	15	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	4	4	4	0	4	0	4	0	4	0	4	0	4	0												0	6	2	1
Tumbo	uganda	m	Uganda	30	05/11/2019	2	two_platform:identical_boxes	8	1	0	3	2	3	3	1	4	1	2	0	4	0	4	1	3	0	1	1	1	1								5	-2	5	3
Tumbo	uganda	m	Uganda	30	05/11/2019	2	two_platform:identical_boxes	8	2	0	6	1	3	2	1	2	1	4	1	2	0	2	0	2	0	1	0	3	0	3	1	3	0				4	2	5	3
Tumbo	uganda	m	Uganda	30	05/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	2	2	1	4	1	2	0	4	0	4	0	3	1	3	1	4	0	2	0	4	0				4	2	5	2
Tumbo	uganda	m	Uganda	30	05/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	2	4	1	4	1	3	0	3	1	2	1	3	0	2	0	4	0	3	0	3	0				4	2	6	3
Namukisa	uganda	f	Uganda	21	06/11/2019	2	two_platform:identical_boxes	8	1	0	6	3	4	3	0	3	1	3	0	3	0	2	1	4	0	2	0	3	0								2	4	4	2
Namukisa	uganda	f	Uganda	21	06/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	3	2	1	2	1	3	0	3	0	3	0	3	0	1	1	3	0	3	0						3	3	4	2
Namukisa	uganda	f	Uganda	21	06/11/2019	2	two_platform:identical_boxes	8	3	0	6	3	4	2	1	4	0	3	0	2	1	3	0	3	1	3	0	4	0	2	0						3	3	5	2
Namukisa	uganda	f	Uganda	21	06/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	3	2	1	4	1	4	1	3	0	4	0	3	0	4	0	4	0	2	0						3	3	5	3
Nkuumwa	uganda	f	Uganda	23	09/11/2019	2	two_platform:identical_boxes	8	1	0	6	3	3	3	0	3	0	3	0	3	0	4	1	1	1	1	1	4	1	4	0	3	0				4	2	4	2
Nkuumwa	uganda	f	Uganda	23	09/11/2019	2	two_platform:identical_boxes	8	2	0	3	4	3	2	1	2	1	4	0	3	0	1	1	4	1	3	1	3	0								5	-2	6	3
Nkuumwa	uganda	f	Uganda	23	09/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	1	2	1	3	1	3	1	2	1	3	0	3	0	4	0	3	0	3	0	4	1	4	0		5	1	6	3
Nkuumwa	uganda	f	Uganda	23	09/11/2019	2	two_platform:identical_boxes	8	4	0	6	4	2	3	1	4	1	1	1	3	1	4	0	3	0	3	0	4	0	4	0	3	0				4	2	6	3
Bwambale	uganda	m	Uganda	19	24/11/2019	2	two_platform:identical_boxes	8	1	0	6	4	4	1	1	3	1	4	0	3	0	4	0	3	0	4	0	1	1	4	0						3	3	4	2
Bwambale	uganda	m	Uganda	19	24/11/2019	2	two_platform:identical_boxes	8	2	0	6	4	4	2	1	2	1	3	1	2	0	4	0	3	1	2	0	3	0	4	0	3	0				4	2	6	3
Bwambale	uganda	m	Uganda	19	24/11/2019	2	two_platform:identical_boxes	8	3	0	2	4	3	2	1	3	0	1	1	4	1	3	1	3	0												4	-2	6	4
Bwambale	uganda	m	Uganda	19	24/11/2019	2	two_platform:identical_boxes	8	4	0	2	4	2	3	1	4	1	1	1	3	1	3	0	1	0	1	0										4	-2	6	3
Yoyo	uganda	f	Uganda	20	26/11/2019	2	two_platform:identical_boxes	8	1	0	4	3	3	3	0	1	1	4	1	1	0	1	1	2	1	1	0	4	1	4	0						5	-1	6	3
Yoyo	uganda	f	Uganda	20	26/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	2	4	1	3	1	1	1	3	0	3	0	1	1	4	0	3	0	3	0	3	0				4	2	6	3
Yoyo	uganda	f	Uganda	20	26/11/2019	2	two_platform:identical_boxes	8	3	0	1	2	3	3	1	1	1	1	1	2	1	4	1	3	0												5	-4	7	4
Yoyo	uganda	f	Uganda	20	26/11/2019	2	two_platform:identical_boxes	8	4	0	2	3	1	1	1	2	1	3	0	4	1	4	1	3	1	1	0										5	-3	7	3
Nani	uganda	f	Uganda	18	26/11/2019	2	two_platform:identical_boxes	8	1	0	5	2	3	3	1	3	0	4	1	3	0	4	0	1	1	2	0	1	0	1	1	4	1				5	0	5	3
Nani	uganda	f	Uganda	18	26/11/2019	2	two_platform:identical_boxes	8	2	0	6	4	3	3	1	3	0	3	0	2	1	1	1	4	1	1	0	3	0	1	0	2	0				4	2	6	3
Nani	uganda	f	Uganda	18	26/11/2019	2	two_platform:identical_boxes	8	3	0	3	4	4	1	1	4	0	4	0	1	1	2	1	1	0	3	1	3	1								5	-2	5	3
Nani	uganda	f	Uganda	18	26/11/2019	2	two_platform:identical_boxes	8	4	0	6	2	1	1	1	4	1	1	0	1	0	4	1	3	1	4	0	1	0	2	0	3	0				4	2	6	3
Okech	uganda	m	Uganda	20	27/11/2019	2	two_platform:identical_boxes	8	1	0	3	4	1	1	1	4	1	3	1	2	1	3	0	2	0	3	0	3	1	2	1						6	-3	6	3
Okech	uganda	m	Uganda	20	27/11/2019	2	two_platform:identical_boxes	8	2	0	2	4	3	1	1	2	1	3	1	4	1	3	0	1	1	3	0										5	-3	7	3
Okech	uganda	m	Uganda	20	27/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	1	2	1	2	1	2	0	1	0	3	1	1	0	2	0	2	0	3	0						3	3	5	3
Okech	uganda	m	Uganda	20	27/11/2019	2	two_platform:identical_boxes	8	4	0	1	4	4	1	1	4	0	3	1	3	1	2	1	2	1												5	-4	7	4
Sara	uganda	f	Uganda	9	27/11/2019	2	two_platform:identical_boxes	8	1	1	0	3	2	4	1	1	1	1	1	4	1	2	1	3	1												6		8	4
Sara	uganda	f	Uganda	9	27/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	4	3	0	1	1	1	1	1	0	1	0	2	1	2	1	1	0	1	0	1	0			did another choice on platform 1 as I was unsure about number of mistakes - chose 3 again	4	2	5	2
Sara	uganda	f	Uganda	9	27/11/2019	2	two_platform:identical_boxes	8	3	0	2	1	1	2	1	4	1	3	1	1	0	4	1	1	0												4	-2	6	4
Sara	uganda	f	Uganda	9	27/11/2019	2	two_platform:identical_boxes	8	4	0	4	1	3	2	1	2	1	3	1	1	1	1	0	3	0	3	0	4	1	3	0						5	-1	6	3
Umugenzi	uganda	m	Uganda	22	28/11/2019	2	two_platform:identical_boxes	8	1	0	4	3	4	2	1	3	1	4	1	3	0	4	0	3	0	1	1	4	0								4	0	5	3
Umugenzi	uganda	m	Uganda	22	28/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	4	1	1	1	1	2	1	1	0	2	0	3	1	3	0	3	0	3	0	2	1	2	0		5	1	6	3
Umugenzi	uganda	m	Uganda	22	28/11/2019	2	two_platform:identical_boxes	8	3	0	6	3	1	1	1	2	1	2	1	2	0	3	0	3	1	2	0	3	0	1	0	1	0				4	2	6	3
Umugenzi	uganda	m	Uganda	22	28/11/2019	2	two_platform:identical_boxes	8	4	0	2	3	4	2	1	2	1	2	0	1	1	1	1	3	1	2	0										5	-3	7	3
Umutama	uganda	m	Uganda	23	28/11/2019	2	two_platform:identical_boxes	8	1	0	6	1	1	3	1	3	1	4	1	4	1	3	0	1	0	4	0	3	0	3	0	3	0				4	2	6	3
Umutama	uganda	m	Uganda	23	28/11/2019	2	two_platform:identical_boxes	8	2	0	6	3	3	3	0	3	0	3	0	2	1	2	1	2	0	3	0	2	0								2	4	4	2
Umutama	uganda	m	Uganda	23	28/11/2019	2	two_platform:identical_boxes	8	3	0	6	3	2	2	1	2	0	2	0	1	1	3	0	3	1	3	0	2	0	3	0						3	3	5	2
Umutama	uganda	m	Uganda	23	28/11/2019	2	two_platform:identical_boxes	8	4	0	6	3	2	2	1	1	1	1	1	1	0	3	0	2	0	1	0	2	0	2	0						3	3	5	3
Bili	uganda	f	Uganda	21	29/11/2019	2	two_platform:identical_boxes	8	1	0	4	4	3	3	1	2	1	4	0	2	0	1	1	3	0	2	1	2	0								4	0	5	3
Bili	uganda	f	Uganda	21	29/11/2019	2	two_platform:identical_boxes	8	2	0	6	2	1	2	0	1	0	3	1	2	1	3	0	4	1	2	0	2	0	1	1	2	0				4	2	5	2
Bili	uganda	f	Uganda	21	29/11/2019	2	two_platform:identical_boxes	8	3	0	6	4	3	4	0	3	0	4	0	2	1	2	1	1	1	1	1	2	0	2	0	2	0				4	2	5	2
Bili	uganda	f	Uganda	21	29/11/2019	2	two_platform:identical_boxes	8	4	0	4	2	2	1	1	2	0	3	1	2	0	3	0	2	0	4	1	1	1								4	0	4	3
