Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,baited_Distractor,chose_side_reli,correct_reli,Comment
Zee,kenya,m,old chimps,18,14/10/2018,3,1,15,l,green,l,1,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,16,r,green,r,1,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,17,l,heart,r,0,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,18,l,green,r,0,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,19,r,green,r,1,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,20,r,heart,r,1,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,21,l,green,r,0,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,22,l,heart,l,1,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,23,r,heart,l,0,
Zee,kenya,m,old chimps,18,14/10/2018,3,1,24,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,1,r,heart,l,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,2,l,green,l,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,3,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,4,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,5,l,green,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,6,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,7,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,8,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,9,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,10,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,11,l,green,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,12,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,13,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,14,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,15,l,green,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,16,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,17,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,18,l,green,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,19,r,green,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,20,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,21,l,green,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,22,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,23,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,24,r,green,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,1,r,heart,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,2,l,green,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,3,l,heart,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,4,r,green,l,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,5,l,green,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,6,l,heart,l,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,7,r,green,l,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,8,r,heart,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,9,r,green,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,10,r,heart,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,11,l,green,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,12,l,heart,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,13,l,heart,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,14,r,heart,l,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,15,l,green,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,16,r,green,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,17,l,heart,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,18,l,green,l,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,19,r,green,l,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,20,r,heart,r,1,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,21,l,green,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,22,l,heart,r,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,23,r,heart,l,0,
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,24,r,green,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,1,r,heart,l,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,2,l,green,r,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,3,l,heart,r,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,4,r,green,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,5,l,green,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,6,l,heart,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,7,r,green,l,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,8,r,heart,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,9,r,green,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,10,r,heart,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,11,l,green,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,12,l,heart,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,13,l,heart,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,14,r,heart,l,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,15,l,green,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,16,r,green,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,17,l,heart,r,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,18,l,green,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,19,r,green,l,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,20,r,heart,r,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,21,l,green,r,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,22,l,heart,l,1,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,23,r,heart,l,0,
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,24,r,green,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,1,r,heart,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,2,l,heart,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,3,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,4,r,green,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,5,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,6,l,heart,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,7,r,green,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,8,r,heart,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,9,r,green,r,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,10,r,heart,r,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,11,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,12,l,heart,r,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,13,l,heart,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,14,r,heart,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,15,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,16,r,green,r,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,17,l,heart,r,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,18,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,19,r,green,r,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,20,r,heart,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,21,l,green,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,22,l,heart,l,1,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,23,r,heart,l,0,
Alley,kenya,f,old chimps,31,12/11/2018,3,1,24,r,green,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,1,r,heart,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,2,l,green,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,3,l,heart,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,4,r,green,r,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,5,l,green,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,6,l,heart,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,7,r,green,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,8,r,heart,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,9,r,green,r,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,10,r,heart,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,11,l,green,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,12,l,heart,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,13,l,heart,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,14,r,heart,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,15,l,green,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,16,r,green,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,17,l,heart,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,18,l,green,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,19,r,green,r,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,20,r,heart,l,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,21,l,green,l,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,22,l,heart,r,0,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,23,r,heart,r,1,
Indi,uganda,m,Uganda,19,16/10/2019,3,1,24,r,green,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,1,r,heart,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,2,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,3,l,heart,l,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,4,r,green,l,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,5,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,6,l,heart,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,7,r,green,l,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,8,r,heart,l,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,9,r,green,l,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,10,r,heart,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,11,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,12,l,heart,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,13,l,heart,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,14,r,heart,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,15,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,16,r,green,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,17,l,heart,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,18,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,19,r,green,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,20,r,heart,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,21,l,green,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,22,l,heart,r,0,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,23,r,heart,r,1,
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,24,r,green,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,1,r,heart,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,2,l,green,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,3,l,heart,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,4,r,green,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,5,l,green,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,6,l,heart,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,7,r,green,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,8,r,heart,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,9,r,green,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,10,r,heart,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,11,l,green,r,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,12,l,heart,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,13,l,heart,r,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,14,r,heart,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,15,l,green,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,16,r,green,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,17,l,heart,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,18,l,green,r,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,19,r,green,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,20,r,heart,r,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,21,l,green,r,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,22,l,heart,l,1,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,23,r,heart,l,0,
Sara,uganda,f,Uganda,9,28/11/2019,3,1,24,r,green,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,1,r,heart,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,2,l,green,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,3,l,heart,l,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,4,r,green,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,5,l,green,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,6,l,heart,l,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,7,r,green,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,8,r,heart,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,9,r,green,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,10,r,heart,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,11,l,green,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,12,l,heart,l,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,13,l,heart,l,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,14,r,heart,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,15,l,green,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,16,r,green,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,17,l,heart,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,18,l,green,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,19,r,green,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,20,r,heart,r,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,21,l,green,l,1,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,22,l,heart,r,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,23,r,heart,l,0,
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,24,r,green,l,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,1,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,2,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,3,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,4,r,green,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,5,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,6,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,7,r,green,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,8,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,9,r,green,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,10,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,11,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,12,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,13,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,14,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,15,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,16,r,green,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,17,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,18,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,19,r,green,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,20,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,21,l,green,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,22,l,heart,r,0,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,23,r,heart,r,1,
Okech,uganda,m,Uganda,20,28/11/2019,3,1,24,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,1,l,green,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,2,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,3,l,heart,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,4,r,heart,l,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,5,r,heart,l,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,6,l,heart,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,7,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,8,l,green,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,9,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,10,l,heart,r,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,11,l,green,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,12,r,heart,l,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,13,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,14,l,heart,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,15,l,green,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,16,r,heart,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,17,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,18,l,heart,l,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,19,l,green,r,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,20,r,heart,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,21,r,heart,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,22,l,green,r,0,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,23,r,green,r,1,
Roy,kenya,m,young chimps,11,09/10/2018,4,2,24,l,heart,l,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,1,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,2,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,3,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,4,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,5,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,6,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,7,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,8,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,9,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,10,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,11,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,12,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,13,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,14,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,15,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,16,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,17,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,18,l,heart,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,19,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,20,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,21,r,heart,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,22,l,green,r,0,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,23,r,green,r,1,
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,24,l,heart,r,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,1,l,green,r,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,2,r,green,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,3,l,heart,r,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,4,r,heart,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,5,r,heart,r,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,6,l,heart,r,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,7,r,green,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,8,l,green,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,9,r,green,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,10,l,heart,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,11,l,green,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,12,r,heart,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,13,r,green,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,14,l,heart,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,15,l,green,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,16,r,heart,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,17,r,green,r,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,18,l,heart,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,19,l,green,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,20,r,heart,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,21,r,heart,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,22,l,green,l,1,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,23,r,green,l,0,
Zee,kenya,m,old chimps,18,16/10/2018,4,2,24,l,heart,l,1,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,1,l,green,l,1,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,2,r,green,r,1,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,3,l,heart,r,0,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,4,r,heart,l,0,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,5,r,heart,r,1,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,6,l,heart,r,0,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,7,r,green,l,0,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,8,l,green,l,1,
Alley,kenya,f,old chimps,31,14/11/2018,4,2,9,r,green,l,0,
