Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,baited_Distractor,chose_side,correct,Comment,correct_check,side_change,box_change,dopple_change,chosen_distractor
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,13,l,heart,r,0,,0,no,no,no,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,16,r,green,r,1,,1,yes,no,no,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,18,l,green,r,0,,0,no,yes,no,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,19,r,green,r,1,,1,yes,no,no,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,22,l,heart,r,0,,0,no,yes,no,green
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,23,r,heart,r,1,,1,yes,no,no,heart
Cheetah,kenya,f,old chimps,31,15/10/2018,3,1,24,r,green,r,1,,1,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,1,r,heart,r,1,,1,,,,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,3,l,heart,r,0,,0,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,5,l,green,r,0,,0,yes,no,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,8,r,heart,r,1,,1,no,yes,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,9,r,green,r,1,,1,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,12,l,heart,r,0,,0,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,13,l,heart,r,0,,0,no,no,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,14,r,heart,l,0,,0,yes,no,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,16,r,green,r,1,,1,yes,no,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,18,l,green,l,1,,1,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,19,r,green,l,0,,0,yes,no,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,22,l,heart,r,0,,0,no,yes,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,23,r,heart,l,0,,0,yes,no,no,green
Kisa,kenya,m,young chimps,25,08/11/2018,3,1,24,r,green,r,1,,1,no,yes,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,1,r,heart,l,0,,0,,,,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,3,l,heart,r,0,,0,no,yes,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,4,r,green,r,1,,1,yes,yes,yes,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,5,l,green,l,1,,1,yes,no,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,8,r,heart,r,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,9,r,green,r,1,,1,no,yes,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,11,l,green,l,1,,1,yes,yes,yes,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,12,l,heart,l,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,13,l,heart,l,1,,1,no,no,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,14,r,heart,l,0,,0,yes,no,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,15,l,green,l,1,,1,yes,yes,yes,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,16,r,green,r,1,,1,yes,no,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,18,l,green,l,1,,1,no,yes,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,19,r,green,l,0,,0,yes,no,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,22,l,heart,l,1,,1,no,yes,no,heart
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,23,r,heart,l,0,,0,yes,no,no,green
Bahati,kenya,f,young chimps,25,08/11/2018,3,1,24,r,green,l,0,,0,no,yes,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,1,r,heart,l,0,,0,,,,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,2,l,heart,l,1,,1,yes,no,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,3,l,green,l,1,,1,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,4,r,green,l,0,,0,yes,no,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,5,l,green,l,1,,1,yes,no,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,8,r,heart,l,0,,0,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,9,r,green,r,1,,1,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,11,l,green,l,1,,1,yes,yes,yes,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,12,l,heart,r,0,,0,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,13,l,heart,l,1,,1,no,no,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,14,r,heart,l,0,,0,yes,no,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,15,l,green,l,1,,1,yes,yes,yes,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,16,r,green,r,1,,1,yes,no,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,18,l,green,l,1,,1,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,19,r,green,r,1,,1,yes,no,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,20,r,heart,l,0,,0,no,yes,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,21,l,green,l,1,,1,yes,yes,yes,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,22,l,heart,l,1,,1,no,yes,no,heart
Alley,kenya,f,old chimps,31,12/11/2018,3,1,23,r,heart,l,0,,0,yes,no,no,green
Alley,kenya,f,old chimps,31,12/11/2018,3,1,24,r,green,l,0,,0,no,yes,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,1,r,heart,l,0,,0,,,,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,2,l,green,l,1,,1,yes,yes,yes,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,3,l,heart,l,1,,1,no,yes,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,4,r,green,r,1,,1,yes,yes,yes,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,5,l,green,r,0,,0,yes,no,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,6,l,heart,r,0,,0,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,8,r,heart,l,0,,0,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,9,r,green,r,1,,1,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,12,l,heart,l,1,,1,no,yes,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,13,l,heart,l,1,,1,no,no,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,14,r,heart,l,0,,0,yes,no,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,16,r,green,l,0,,0,yes,no,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,18,l,green,l,1,,1,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,19,r,green,r,1,,1,yes,no,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,20,r,heart,l,0,,0,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,21,l,green,l,1,,1,yes,yes,yes,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,22,l,heart,r,0,,0,no,yes,no,green
Indi,uganda,m,Uganda,19,16/10/2019,3,1,23,r,heart,r,1,,1,yes,no,no,heart
Indi,uganda,m,Uganda,19,16/10/2019,3,1,24,r,green,r,1,,1,no,yes,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,1,r,heart,r,1,,1,,,,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,3,l,heart,l,1,,1,no,yes,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,5,l,green,r,0,,0,yes,no,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,6,l,heart,r,0,,0,no,yes,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,8,r,heart,l,0,,0,no,yes,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,9,r,green,l,0,,0,no,yes,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,12,l,heart,r,0,,0,no,yes,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,13,l,heart,r,0,,0,no,no,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,16,r,green,r,1,,1,yes,no,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,18,l,green,r,0,,0,no,yes,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,19,r,green,r,1,,1,yes,no,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,22,l,heart,r,0,,0,no,yes,no,green
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,23,r,heart,r,1,,1,yes,no,no,heart
Mawa,uganda,m,Uganda,23,03/11/2019,3,1,24,r,green,r,1,,1,no,yes,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,1,r,heart,r,1,,1,,,,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,2,l,green,l,1,,1,yes,yes,yes,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,3,l,heart,l,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,5,l,green,l,1,,1,yes,no,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,8,r,heart,l,0,,0,no,yes,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,9,r,green,l,0,,0,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,12,l,heart,l,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,13,l,heart,r,0,,0,no,no,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,15,l,green,l,1,,1,yes,yes,yes,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,16,r,green,r,1,,1,yes,no,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,17,l,heart,l,1,,1,yes,yes,yes,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,18,l,green,r,0,,0,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,19,r,green,l,0,,0,yes,no,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,22,l,heart,l,1,,1,no,yes,no,heart
Sara,uganda,f,Uganda,9,28/11/2019,3,1,23,r,heart,l,0,,0,yes,no,no,green
Sara,uganda,f,Uganda,9,28/11/2019,3,1,24,r,green,r,1,,1,no,yes,no,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,1,r,heart,l,0,,0,,,,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,3,l,heart,l,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,4,r,green,l,0,,0,yes,yes,yes,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,5,l,green,r,0,,0,yes,no,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,6,l,heart,l,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,7,r,green,l,0,,0,yes,yes,yes,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,8,r,heart,r,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,9,r,green,l,0,,0,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,12,l,heart,l,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,13,l,heart,l,1,,1,no,no,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,16,r,green,r,1,,1,yes,no,no,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,18,l,green,r,0,,0,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,19,r,green,l,0,,0,yes,no,no,heart
