Subject,Site,Gender,Group,Age,Trial,Type,Grid,2ndtask_initial,2ndtask_end,NrUntilfindGrid,choice P2,corr P2,choice01,choice01_x,choice01_y,food_x,food_y,distance_c01,choice1_correct,choice02,choice03,choice04,choice05,choice06,choice07,choice08,choice09,choice10,choice11,choice12,choice13,choice14,choice15,choice16,choice17,choice18,choice19,choice20,choice21,choice22,choice23,choice24,choice25,choice26,choice27,choice28,choice29,choice30,choice31,choice32,choice33,choice34,choice35,choice36,choice37,choice38,choice39,choice40,choice41,choice42,choice43,choice44,choice45,choice46,choice47,choice48,choice49,choice50,choice51,choice52,choice53,choice54,choice55,choice56,choice57,choice58,choice59,choice60
Ajabu,kenya,f,old chimps,10,1,warm-up,8,,,1,,,8,4,2,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,2,warm-up,3,,,5,,,10,2,3,3,1,2.236067977,0,11,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,1,test,9,1,2,12,1,0,11,3,3,1,3,2,0,12,8,7,3,5,1,6,10,14,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,2,test,6,3,1,35,1,1,11,3,3,2,2,1.414213562,0,12,7,8,12,10,9,5,1,2,3,7,13,14,10,9,13,14,10,7,16,8,7,11,15,14,13,9,5,10,13,14,15,10,6,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,3,test,10,2,3,1,2,0,10,2,3,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,4,test,12,3,2,1,1,0,12,4,3,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,5,test,2,2,1,8,1,1,11,3,3,2,1,2.236067977,0,10,6,7,12,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,6,test,11,1,3,2,1,0,10,2,3,3,3,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,7,test,5,1,2,5,1,0,10,2,3,1,2,1.414213562,0,11,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,8,test,3,3,2,7,1,0,10,2,3,3,1,2.236067977,0,11,7,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,9,test,14,1,3,1,1,0,14,2,4,2,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,10,test,8,2,1,12,1,1,11,3,3,4,2,1.414213562,0,12,16,15,14,9,5,1,2,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,11,test,7,3,1,3,1,1,10,2,3,3,2,1.414213562,0,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajabu,kenya,f,old chimps,10,12,test,15,2,3,1,1,0,15,3,4,3,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,1,warm-up,8,,,1,,,8,4,2,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,2,warm-up,3,,,1,,,3,3,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,1,test,9,1,2,4,2,1,10,2,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,2,test,6,3,1,2,1,1,10,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,3,test,10,2,3,1,3,1,10,2,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,4,test,12,3,2,1,2,1,12,4,3,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,5,test,2,2,1,2,1,1,6,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,6,test,11,1,3,1,3,1,11,3,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,7,test,5,1,2,11,2,1,10,2,3,1,2,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,8,test,3,3,2,2,2,1,2,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,9,test,14,1,3,2,3,1,10,2,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,10,test,8,2,1,1,1,1,8,4,2,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,11,test,7,3,1,2,1,1,12,4,3,3,2,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluku,uganda,m,Uganda,21,12,test,15,2,3,4,3,1,11,3,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,1,warm-up,8,,,2,,,7,3,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,2,warm-up,3,,,4,,,8,4,2,3,1,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,1,test,9,1,2,8,3,0,11,3,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,2,test,6,3,1,9,3,0,11,3,3,2,2,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,3,test,10,2,3,1,3,1,10,2,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,4,test,12,3,2,1,2,1,12,4,3,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,5,test,2,2,1,12,2,0,7,3,2,2,1,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,6,test,11,1,3,7,3,1,10,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,7,test,5,1,2,1,2,1,5,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,8,test,3,3,2,2,3,0,7,3,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,9,test,14,1,3,5,3,1,10,2,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,10,test,8,2,1,5,2,0,11,3,3,4,2,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,11,test,7,3,1,2,2,0,11,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,uganda,f,Uganda,12,12,test,15,2,3,13,3,1,7,3,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,1,warm-up,8,,,1,,,8,4,2,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,2,warm-up,3,,,6,,,14,2,4,3,1,3.16227766,0,9,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,1,test,9,1,2,3,3,0,15,3,4,1,3,2.236067977,0,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,2,test,6,3,1,4,3,0,16,4,4,2,2,2.828427125,0,15,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,3,test,10,2,3,18,3,1,15,3,4,2,3,1.414213562,0,14,13,9,5,6,1,2,3,7,4,8,7,11,12,15,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,4,test,12,3,2,32,3,0,11,3,3,4,3,1,0,10,9,6,3,2,1,5,9,…,13,15,14,16,15,11,7,8,7,3,2,6,5,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,5,test,2,2,1,4,2,0,5,1,2,2,1,1.414213562,0,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,6,test,11,1,3,7,3,1,6,2,2,3,3,1.414213562,0,5,1,2,3,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,7,test,5,1,2,2,1,0,6,2,2,1,2,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,8,test,3,3,2,12,2,1,5,1,2,3,1,2.236067977,0,9,13,10,14,11,6,7,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,9,test,14,1,3,6,3,1,10,2,3,2,4,1,0,11,5,9,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,10,test,8,2,1,14,1,1,14,2,4,4,2,2.828427125,0,5,9,13,14,15,10,11,6,1,2,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,11,test,7,3,1,10,1,1,10,2,3,3,2,1.414213562,0,5,9,13,14,15,16,15,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,kenya,f,young chimps,14,12,test,15,2,3,13,1,1,10,2,3,3,4,1.414213562,0,14,5,6,1,2,3,4,8,7,12,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,1,warm-up,8,,,,,,3,3,1,4,2,1.414213562,0,15,3,16,15,14,16,7,5,13,15,16,7,3,2,1,10,14,16,6,2,7,6,11,3,2,14,13,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,2,warm-up,3,,,2,,,6,2,2,3,1,1.414213562,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,1,test,9,1,2,10,2,1,2,2,1,1,3,2.236067977,0,1,15,14,16,8,3,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,2,test,6,3,1,1,3,0,6,2,2,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,3,test,10,2,3,6,3,1,6,2,2,2,3,1,0,7,11,15,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,4,test,12,3,2,12,2,1,11,3,3,4,3,1,0,15,7,6,10,14,13,9,5,7,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,5,test,2,2,1,7,1,1,7,3,2,2,1,1.414213562,0,11,15,14,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,6,test,11,1,3,7,3,1,6,2,2,3,3,1.414213562,0,10,14,13,5,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,7,test,5,1,2,10,2,1,11,3,3,1,2,2.236067977,0,7,6,10,15,16,14,13,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,8,test,3,3,2,20,2,1,11,3,3,3,1,2,0,6,1,2,5,10,14,13,9,8,12,16,15,11,7,6,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,9,test,14,1,3,5,3,1,7,3,2,2,4,2.236067977,0,12,11,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,10,test,8,2,1,11,1,1,10,2,3,4,2,2.236067977,0,11,15,14,9,5,9,13,15,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,11,test,11,3,1,3,1,1,7,3,2,3,3,1,0,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,kenya,f,young chimps,14,12,test,15,2,3,2,3,1,11,3,3,3,4,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisa,kenya,m,young chimps,25,1,warm-up,8,,,6,,,15,3,4,4,2,2.236067977,0,14,10,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
